"Onderwerp","Perioden","Totalen","Regio's"
"Bbp, volumemutaties in percentages","2020*","-2,7","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2020*","-3,2","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2020*","-3,8","Nederland"
"Bbp, volumemutaties in percentages","2020*","-6,8","Groningen (PV)"
"Bedrijfsvestigingen totaal","2013","1341110","Nederland"
"Bedrijfsvestigingen totaal","2013","34630","Drenthe (PV)"
"Bedrijfsvestigingen totaal","2013","39140","Groningen (PV)"
"Bedrijfsvestigingen totaal","2013","50260","Fryslân (PV)"
"Bedrijfsvestigingen totaal","2014","1363490","Nederland"
"Bedrijfsvestigingen totaal","2014","35230","Drenthe (PV)"
"Bedrijfsvestigingen totaal","2014","39650","Groningen (PV)"
"Bedrijfsvestigingen totaal","2014","50995","Fryslân (PV)"
"Bedrijfsvestigingen totaal","2015","1418820","Nederland"
"Bedrijfsvestigingen totaal","2015","36440","Drenthe (PV)"
"Bedrijfsvestigingen totaal","2015","41050","Groningen (PV)"
"Bedrijfsvestigingen totaal","2015","52800","Fryslân (PV)"
"Bedrijfsvestigingen totaal","2016","1470645","Nederland"
"Bedrijfsvestigingen totaal","2016","37555","Drenthe (PV)"
"Bedrijfsvestigingen totaal","2016","42515","Groningen (PV)"
"Bedrijfsvestigingen totaal","2016","54455","Fryslân (PV)"
"Bedrijfsvestigingen totaal","2017","1508540","Nederland"
"Bedrijfsvestigingen totaal","2017","38210","Drenthe (PV)"
"Bedrijfsvestigingen totaal","2017","43275","Groningen (PV)"
"Bedrijfsvestigingen totaal","2017","55330","Fryslân (PV)"
"Bedrijfsvestigingen totaal","2018","1573885","Nederland"
"Bedrijfsvestigingen totaal","2018","39400","Drenthe (PV)"
"Bedrijfsvestigingen totaal","2018","44695","Groningen (PV)"
"Bedrijfsvestigingen totaal","2018","57090","Fryslân (PV)"
"Bedrijfsvestigingen totaal","2019","1646160","Nederland"
"Bedrijfsvestigingen totaal","2019","40600","Drenthe (PV)"
"Bedrijfsvestigingen totaal","2019","46090","Groningen (PV)"
"Bedrijfsvestigingen totaal","2019","58760","Fryslân (PV)"
"Bedrijfsvestigingen totaal","2020","1724690","Nederland"
"Bedrijfsvestigingen totaal","2020","41930","Drenthe (PV)"
"Bedrijfsvestigingen totaal","2020","47745","Groningen (PV)"
"Bedrijfsvestigingen totaal","2020","60680","Fryslân (PV)"
"Bedrijfsvestigingen totaal","2021",NA,"Drenthe (PV)"
"Bedrijfsvestigingen totaal","2021",NA,"Fryslân (PV)"
"Bedrijfsvestigingen totaal","2021",NA,"Groningen (PV)"
"Bedrijfsvestigingen totaal","2021",NA,"Nederland"
"Beloning van werknemers in mln euro","1995","165485","Nederland"
"Beloning van werknemers in mln euro","1995","3868","Drenthe (PV)"
"Beloning van werknemers in mln euro","1995","4604","Fryslân (PV)"
"Beloning van werknemers in mln euro","1995","5197","Groningen (PV)"
"Beloning van werknemers in mln euro","1996","171905","Nederland"
"Beloning van werknemers in mln euro","1996","4021","Drenthe (PV)"
"Beloning van werknemers in mln euro","1996","4744","Fryslân (PV)"
"Beloning van werknemers in mln euro","1996","5317","Groningen (PV)"
"Beloning van werknemers in mln euro","1997","181552","Nederland"
"Beloning van werknemers in mln euro","1997","4237","Drenthe (PV)"
"Beloning van werknemers in mln euro","1997","4950","Fryslân (PV)"
"Beloning van werknemers in mln euro","1997","5570","Groningen (PV)"
"Beloning van werknemers in mln euro","1998","194591","Nederland"
"Beloning van werknemers in mln euro","1998","4455","Drenthe (PV)"
"Beloning van werknemers in mln euro","1998","5330","Fryslân (PV)"
"Beloning van werknemers in mln euro","1998","5862","Groningen (PV)"
"Beloning van werknemers in mln euro","1999","209544","Nederland"
"Beloning van werknemers in mln euro","1999","4721","Drenthe (PV)"
"Beloning van werknemers in mln euro","1999","5740","Fryslân (PV)"
"Beloning van werknemers in mln euro","1999","6263","Groningen (PV)"
"Beloning van werknemers in mln euro","2000","226691","Nederland"
"Beloning van werknemers in mln euro","2000","5041","Drenthe (PV)"
"Beloning van werknemers in mln euro","2000","6176","Fryslân (PV)"
"Beloning van werknemers in mln euro","2000","6718","Groningen (PV)"
"Beloning van werknemers in mln euro","2001","239070","Nederland"
"Beloning van werknemers in mln euro","2001","5374","Drenthe (PV)"
"Beloning van werknemers in mln euro","2001","6554","Fryslân (PV)"
"Beloning van werknemers in mln euro","2001","7049","Groningen (PV)"
"Beloning van werknemers in mln euro","2002","251061","Nederland"
"Beloning van werknemers in mln euro","2002","5800","Drenthe (PV)"
"Beloning van werknemers in mln euro","2002","6831","Fryslân (PV)"
"Beloning van werknemers in mln euro","2002","7440","Groningen (PV)"
"Beloning van werknemers in mln euro","2003","257855","Nederland"
"Beloning van werknemers in mln euro","2003","5925","Drenthe (PV)"
"Beloning van werknemers in mln euro","2003","7101","Fryslân (PV)"
"Beloning van werknemers in mln euro","2003","7724","Groningen (PV)"
"Beloning van werknemers in mln euro","2004","261594","Nederland"
"Beloning van werknemers in mln euro","2004","5991","Drenthe (PV)"
"Beloning van werknemers in mln euro","2004","7231","Fryslân (PV)"
"Beloning van werknemers in mln euro","2004","7845","Groningen (PV)"
"Beloning van werknemers in mln euro","2005","265786","Nederland"
"Beloning van werknemers in mln euro","2005","6038","Drenthe (PV)"
"Beloning van werknemers in mln euro","2005","7367","Fryslân (PV)"
"Beloning van werknemers in mln euro","2005","7878","Groningen (PV)"
"Beloning van werknemers in mln euro","2006","274630","Nederland"
"Beloning van werknemers in mln euro","2006","6181","Drenthe (PV)"
"Beloning van werknemers in mln euro","2006","7527","Fryslân (PV)"
"Beloning van werknemers in mln euro","2006","8036","Groningen (PV)"
"Beloning van werknemers in mln euro","2007","290422","Nederland"
"Beloning van werknemers in mln euro","2007","6567","Drenthe (PV)"
"Beloning van werknemers in mln euro","2007","7954","Fryslân (PV)"
"Beloning van werknemers in mln euro","2007","8327","Groningen (PV)"
"Beloning van werknemers in mln euro","2008","307606","Nederland"
"Beloning van werknemers in mln euro","2008","7110","Drenthe (PV)"
"Beloning van werknemers in mln euro","2008","8349","Fryslân (PV)"
"Beloning van werknemers in mln euro","2008","8747","Groningen (PV)"
"Beloning van werknemers in mln euro","2009","312196","Nederland"
"Beloning van werknemers in mln euro","2009","6983","Drenthe (PV)"
"Beloning van werknemers in mln euro","2009","8503","Fryslân (PV)"
"Beloning van werknemers in mln euro","2009","8967","Groningen (PV)"
"Beloning van werknemers in mln euro","2010","311717","Nederland"
"Beloning van werknemers in mln euro","2010","6781","Drenthe (PV)"
"Beloning van werknemers in mln euro","2010","8604","Fryslân (PV)"
"Beloning van werknemers in mln euro","2010","8842","Groningen (PV)"
"Beloning van werknemers in mln euro","2011","319557","Nederland"
"Beloning van werknemers in mln euro","2011","6970","Drenthe (PV)"
